,model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,0.5,0.043966054916381836,19.60066032409668,0.0010039806365966797,0.1401073932647705,2,True,14
1,CatBoost,0.4,0.004000186920166016,17.045714616775513,0.004000186920166016,17.045714616775513,1,True,8
2,LightGBMLarge,0.35,0.0019998550415039062,0.4793229103088379,0.0019998550415039062,0.4793229103088379,1,True,13
3,LightGBMXT,0.35,0.003002166748046875,0.6091632843017578,0.003002166748046875,0.6091632843017578,1,True,4
4,XGBoost,0.35,0.003999948501586914,0.39850568771362305,0.003999948501586914,0.39850568771362305,1,True,11
5,NeuralNetFastAI,0.35,0.006999969482421875,1.8487248420715332,0.006999969482421875,1.8487248420715332,1,True,3
6,LightGBM,0.3,0.0025818347930908203,0.21599984169006348,0.0025818347930908203,0.21599984169006348,1,True,5
7,NeuralNetTorch,0.3,0.010982036590576172,0.5087559223175049,0.010982036590576172,0.5087559223175049,1,True,12
8,ExtraTreesGini,0.3,0.023000001907348633,0.3470020294189453,0.023000001907348633,0.3470020294189453,1,True,9
9,ExtraTreesEntr,0.3,0.029380083084106445,0.3501136302947998,0.029380083084106445,0.3501136302947998,1,True,10
10,RandomForestEntr,0.25,0.029999971389770508,0.3996574878692627,0.029999971389770508,0.3996574878692627,1,True,7
11,RandomForestGini,0.25,0.03299856185913086,0.4496476650238037,0.03299856185913086,0.4496476650238037,1,True,6
12,KNeighborsUnif,0.15,0.001999378204345703,1.427779197692871,0.001999378204345703,1.427779197692871,1,True,1
13,KNeighborsDist,0.1,0.001001119613647461,0.005149364471435547,0.001001119613647461,0.005149364471435547,1,True,2
